ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
18885154,107070106,107020307,3,492,291
17687476,133120203,133140102,2,4021,2338
15899818,102030306,124030302,2,182,104
15834366,101030303,107100301,2,3,2
20094529,126040301,133140302,3,6,2
17929818,104000605,107020506,2,14,7
11057577,107090102,107100302,1,723,592
19072274,107100304,115020103,3,22,13
16226405,107040201,152030000,2,3,2
16835120,112010002,107100108,2,2,1
11688621,112070102,107130207,1,2,2
17376906,124040102,107100504,2,221,162
19825848,118140103,107010207,3,3,1
11086619,107090302,107020701,1,74,61
19399171,110050302,102020501,3,237,95
18948861,107090101,112020103,3,35,21
17216147,118140304,107020603,2,2,1
17355634,124030204,107020510,2,4,3
12903850,137010900,118120406,1,7,5
18779843,107020501,107080017,3,198,117
12345296,128040203,107020706,1,19,13
12642154,104000205,107070102,1,66,54
18867181,107040208,102030501,3,39,23
18453634,101030104,107010205,3,17,10
16377356,107090409,101030102,2,108,70
17964809,114000305,131000100,2,206,100
10807925,107020110,107160012,1,263,215
10629931,102030207,124030100,1,199,163
19721004,115030101,112070203,3,28,13
19883574,118150501,128020103,3,2,1
19873622,118150305,118140201,3,15017,7863
19641478,113010302,112040102,3,2,1
19182050,107130103,107040207,3,217,128
14866686,127010103,127010103,4,25260381,0
19965359,124010303,107010404,3,5,3
12261285,127010610,110040105,1,1883,1543
18729678,107020205,107110205,3,193,114
16621366,107150003,112080103,2,3,2
20155877,127010611,118150501,3,2,1
19412471,110060107,107100101,3,23,9
20549849,104000505,112080102,3,958,472
20605622,125000201,125000401,3,14014,7658
11285933,107130101,102020507,1,6,5
18260323,148020300,137011000,2,25,11
11070440,107090110,107070106,1,289,237
20545405,104000502,130000107,3,3,1
12631390,104000101,118140109,1,26,21
11764209,113020103,137010600,1,17,14
11240082,107110203,133190303,1,2,2
11904040,118130305,107020116,1,99,81
11891252,118120410,107090413,1,2,1
16225100,107040201,107020510,2,1061,685
16656371,107160011,102020503,2,5,3
19936302,120000010,107070202,3,7,3
19722308,115030102,107100401,3,3,1
20058152,126030102,107140001,3,5,2
16087014,107020121,101020204,2,77,50
12218579,126060105,102020503,1,2,1
19744233,116000203,133200102,3,87,47
19491700,112020401,107010104,3,15,7
10591281,102020203,133190302,1,5,4
11037774,107080008,102030205,1,2,1
16513588,107110306,101010203,2,8,5
20448760,133200202,107020305,3,5,3
20905384,148030500,126060202,3,4,2
20840939,149030900,149020100,3,67,27
20024691,126010107,128020106,3,3,1
15824246,101030105,101020103,2,1988,1283
15902582,102030402,107130301,2,19,11
10742213,107010113,114000104,1,6,5
11195605,107100406,108000402,1,210,172
12384343,130000102,107090416,1,3,2
16731535,110040102,110050203,2,1749,862
20049258,126020208,114000207,3,7,3
19005005,107090407,101030303,3,57,34
11510293,110060101,110020403,1,1779,1379
20929768,153010800,128020201,3,128,51
17760972,133170101,102030401,2,20,12
20665795,132040204,148011000,3,34,18
11902672,118130304,107110108,1,19,16
18168154,137020100,107010110,2,19,8
11132207,107100102,107100505,1,25561,20952
16857870,112020301,107100508,2,12,7
15819542,101030102,107020110,2,549,354
11209787,107100508,107010210,1,908,744
13367155,107010110,107020705,4,257,211
10978126,107040210,107110102,1,102,84
11009239,107070202,112070108,1,36,30
11924227,118130506,118150501,1,383,314
11063950,107090106,107070104,1,1017,834
13555179,107020612,107010103,4,1312,1075
10902512,107020510,126060301,1,7,6
17528398,127010701,127010604,2,64657,39667
20699503,132080101,131000202,3,11,6
17960750,114000303,107090207,2,2,1
17072574,115010001,126030405,2,8,4
16559241,107130108,107020607,2,1283,828
19210230,107130208,118140401,3,8,5
16479668,107110101,107010301,2,1390,897
20536589,104000301,107110303,3,12,6
19837670,118140110,110060102,3,4,2
16524269,107110312,124010302,2,43,28
16896436,112040302,102030203,2,202,111
20219737,128030105,148010200,3,22,9
19364386,110040103,124010103,3,16,6
16392361,107100101,107110101,2,1172,756
18153441,137010200,101020203,2,4,2
20339558,133130504,104000101,3,6,3
19122658,107110108,118150401,3,12,7
18840487,107020714,124020101,3,89,53
17900567,104000203,107020109,2,38,20
11089651,107090304,102020101,1,25,20
18973203,107090207,112020406,3,14,8
20442933,133200103,118130509,3,15,8
18633580,107010113,102020302,3,7,4
18418665,101010102,118130401,3,123,73
20778014,145020400,107020205,3,3,1
12109971,124030401,106000604,1,4,3
18622867,107010106,112040301,3,432,256
11242629,107110205,107160020,1,104,85
19492715,112020401,129030102,3,6,2
18270121,148030200,148030500,2,247034,64288
19408287,110060104,127010104,3,448,181
19104929,107100509,126030102,3,8,5
12583516,133210204,102020201,1,5,4
10733305,107010108,107160003,1,805,660
16954897,112070105,107010109,2,35,19
20028807,126010207,107090305,3,76,31
16955281,112070105,107150002,2,3,2
16427153,107100207,131000100,2,22,14
12576646,133210107,133220301,1,56,46
19382332,110040205,127010101,3,418,168
15791488,101010201,104000507,2,6,4
19881186,118150405,107090104,3,4,2
18565320,103030303,148020700,3,4,2
12879426,145010600,113010104,1,39,27
16012085,107010205,104000605,2,15,10
18553243,103030201,115030103,3,9,4
16663011,107160015,107020304,2,1346,868
10529279,101010201,118140110,1,8,6
12087675,124030100,107160003,1,45,37
11730397,113010103,103030304,1,29,24
10647065,102030501,107020709,1,13,10
20010492,124040103,151000003,3,2,1
11922738,118130505,126050105,1,6,5
19895789,118160102,107090109,3,3,2
18937367,107080012,107150004,3,29,17
15991724,107010106,107100510,2,1318,850
20281789,130000105,107070203,3,2,1
16820780,111010904,111010905,2,309564,171980
17910826,104000400,112060101,2,136,73
19897743,118160103,112020406,3,19,10
10998897,107070110,106000501,1,74,61
19803586,118130402,110040106,3,2,1
20129285,127010104,107040102,3,4,2
11002278,107070112,107020704,1,276,227
20975205,348011100,128040202,3,40,16
17045484,113020404,148010300,2,2,1
20361806,133150104,118120406,3,2,1
18568822,103030402,107010409,3,2,1
19313782,108000103,111010302,3,3,2
17323458,124010102,107130305,2,22,16
19005862,107090407,118140405,3,2,1
13467636,107020205,107020104,4,3862,3166
19559057,112060104,124040101,3,26,12
18848381,107040104,112080301,3,23,13
19313290,108000103,107010201,3,5,3
19098000,107100505,110010200,3,26,16
20064794,126030204,112010008,3,3,1
21000522,348030400,107130206,3,10,4
15795254,101010204,107020407,2,4,3
18795416,107020510,104000103,3,45,26
10874721,107020406,118120303,1,14,11
15113371,133160102,133150101,4,7474,6126
10951106,107040101,124040104,1,28,23
19788632,118130200,107020508,3,11,6
17646032,130000102,107070110,2,27,12
19578356,112060303,116000103,3,11,5
15840795,101030402,107090206,2,23,15
12936931,149030200,149010500,1,89,62
18876272,107060000,127010105,3,3,2
20389389,133160304,118130302,3,5,3
16578854,107130208,107100203,2,1707,1101
10889374,107020502,118140405,1,2,2
18872198,107050001,107020504,3,2589,1532
10776778,107010310,107020309,1,462,379
19189807,107130107,153010500,3,7,4
11652513,112050204,102030206,1,28,23
19177090,107120006,107020118,3,47,28
18494193,102020401,107010302,3,361,190
18541141,102030502,102030100,3,9776,5145
18450823,101030102,110010300,3,15,9
19242806,107140011,126030301,3,22,13
18626642,107010108,133160303,3,2,1
18794841,107020510,112070202,3,8,5
20311887,133120103,133150201,3,188,101
20530449,104000202,115010002,3,3,1
11403454,107160016,115010001,1,15,12
15830097,101030203,126020103,2,18,12
15914246,103030101,115020303,2,46,22
20926658,153010600,133190103,3,3,1
18760091,107020402,102020103,3,18,10
19237733,107140008,115030303,3,8,5
20790312,137010500,129020301,3,2,1
11918799,118130503,107090206,1,2,2
19590071,112070107,133130202,3,9,4
18257438,148020200,107020305,2,82,36
17729687,133150103,133170302,2,551,320
15834998,101030303,126040205,2,2,1
11415641,107160025,101010202,1,14,12
17492205,126060305,108000202,2,4,2
17892542,104000101,107020712,2,232,125
11978001,118150303,130000107,1,12,10
12120423,124040201,118120405,1,93,76
18429948,101010206,113030000,3,6,3
17031746,113020203,113010104,2,53,30
15968800,106000402,107020309,2,447,195
16643680,107160002,107090110,2,820,529
20011621,124040104,126020208,3,7,5
20363259,133150105,112020502,3,74,40
18475816,102020101,133190103,3,65,34
19833317,118140107,128040202,3,12,6
20219956,128030106,103040202,3,74,30
20250790,129020101,106000701,3,21,11
19808998,118130501,129020103,3,7,4
16097697,107020204,124030204,2,7,5
19611485,112080203,151000008,3,16,7
12118918,124040104,124010303,1,14351,11763
16854489,112020202,107070103,2,14,7
20924543,153010500,113010101,3,17,7
13980357,107140011,107090111,4,131,108
20862167,148010400,101010103,3,4,2
